id,node_actual,node_predicted,lat0,lng0
3401231451,1,0,42.3493407,-71.0751261
3409496007,1,0,42.350008,-71.0765558
3387755361,1,0,42.35014857,-71.07637434
3468739299,1,0,42.3519737,-71.0707386
3471917284,1,0,42.3499893,-71.0754961
3382352792,1,0,42.35018365,-71.07498498
3445881242,1,0,42.350008,-71.0765558
3385463390,1,0,42.3549544,-71.0654886
3410302618,1,0,42.350008,-71.0765558
3390157355,1,0,42.34948064,-71.07685377
3385463632,1,0,42.355549,-71.0662039
3471064859,1,0,42.3494163,-71.0788284
3451174728,1,0,42.3490151,-71.0762268
3421410968,1,0,42.349848,-71.075101
3381608953,1,0,42.3497106,-71.07524795
3423531407,1,0,42.3523583,-71.0645599
3389963077,1,0,42.35012327,-71.07718568
3451157704,1,0,42.350008,-71.0765558
3471128267,1,0,42.3499893,-71.0754961
3387812533,1,0,42.34886348,-71.07847203
3450316555,1,0,42.350008,-71.0765558
3407182621,1,0,42.3494163,-71.0788284
3450354617,1,0,42.3490151,-71.0762268
3390108545,1,0,42.35053299,-71.07571675
3445984038,1,0,42.350008,-71.0765558
3450349473,1,0,42.3490151,-71.0762268
3404047483,1,0,42.35252947,-71.06754861
3382820704,1,0,42.3549544,-71.0654886
3441054065,1,0,42.356357,-71.0623345
3388582190,1,0,42.34984587,-71.07598879
3446050000,1,0,42.3484952,-71.0765392
3489027663,1,0,42.3519737,-71.0707386
3370614141,1,0,42.34988474,-71.07808432
3441054707,1,0,42.3564003,-71.0622254
3424390860,1,0,42.3562641,-71.0622615
3429283125,1,0,42.350667,-71.0752034
3385172866,1,0,42.35884967,-71.06831686
3450321611,1,0,42.350008,-71.0765558
3388629066,1,0,42.35062766,-71.07535631
3489169873,1,0,42.3499893,-71.0754961
3489852120,1,0,42.3519737,-71.0707386
3365760772,1,0,42.34976897,-71.07718311
3390984420,1,0,42.34997908,-71.07671422
3430052842,1,0,42.3500943,-71.0773313
3365688766,1,0,42.3491425,-71.07709923
3370639387,1,0,42.34994987,-71.07782501
3382352238,1,0,42.35007074,-71.07492774
3426794699,1,0,42.3493414,-71.077958
3407993652,1,0,42.3494163,-71.0788284
3489965870,1,0,42.3499893,-71.0754961
3404636616,0,0,42.3656132,-71.0095602
3471869872,0,0,42.3520448,-71.0734495
3420850057,0,0,42.3581721,-71.0623935
3402036648,0,0,42.3650239,-71.0554801
3381731313,0,0,42.3588589,-71.057774
3401817422,0,0,42.3432702,-71.0784884
3442265788,0,0,0.0,0.0
3365044793,0,0,42.36528733,-71.10355469
3385503942,0,0,42.35320047,-71.09060707
3441358105,0,0,0.0,0.0
3420675815,0,0,42.3399704,-71.1670299
3441421725,0,0,0.0,0.0
3489120827,0,0,42.3486464,-71.0827003
3423567153,0,0,42.3631763,-71.0688305
3420699733,0,0,42.3427153,-71.0848001
3440933161,0,0,42.3568987,-71.0514773
3424111266,0,0,42.3795932,-71.0943496
3404131729,0,0,42.3491317,-71.0720184
3384401797,0,0,42.35832373,-71.06626426
3423424697,0,0,42.375122,-71.1025281
3404606940,0,0,42.3520448,-71.0734495
3423355177,0,0,42.3783445,-71.0679867
3424391320,0,0,42.3388454,-71.1077519
3421453886,0,0,42.3554049,-71.0580762
3403962035,0,0,42.3568987,-71.0514773
3441420659,0,0,0.0,0.0
3424496042,0,0,42.3612481,-71.0653205
3381609109,0,0,42.35004312,-71.07415203
3469471498,0,0,42.3528627,-71.073843
3451149428,0,0,42.3502705,-71.0779719
3385359630,0,0,42.36030476,-71.06404024
3423425531,0,0,42.3600327,-71.0978469
3430159540,0,0,0.0,0.0
3404772118,0,0,42.34365702,-71.0680191
3424417472,0,0,42.4116462,-71.1014141
3424290356,0,0,0.0,0.0
3424495400,0,0,42.3800984,-71.0624265
3441106959,0,0,42.3521975,-71.1318592
3410517216,0,0,0.0,0.0
3441421561,0,0,0.0,0.0
3489741706,0,0,42.3520452,-71.0711798
3381731479,0,0,42.3592978,-71.0579891
3450482059,0,0,42.35075658,-71.08305107
3469430378,0,0,42.3496811,-71.0736404
3404557992,0,0,42.3512376,-71.073068
3469613136,0,0,42.3524309,-71.0736415
3441172753,0,0,42.3559539,-71.06004517
3469544148,0,0,42.3499074,-71.0862162
3424085672,0,0,42.3639567,-71.0551173
3403710725,0,0,0.0,0.0
3381609299,0,0,42.35007221,-71.07403693
3420570273,0,0,42.3616212,-71.0563864
3445223175,0,0,0.0,0.0
3384401615,0,0,42.35833598,-71.06592792
3365907878,0,0,42.35224067,-71.07280091
3424233314,0,0,42.3810465,-71.0692911
3424209328,0,0,42.36822,-71.0566469
3445206693,0,0,0.0,0.0
3429425041,0,0,42.3512376,-71.073068
3382723642,0,0,42.34391876,-71.06605473
3381963879,0,0,42.33919564,-71.07321159
3423371533,0,0,42.3643179,-71.0539177
3472044880,0,0,42.3432912,-71.1026167
3421452308,0,0,42.3587999,-71.0707389
3409520101,0,0,0.0,0.0
3382682736,0,0,42.3592978,-71.0579891
3489103383,0,0,42.3486464,-71.0827003
3441920850,0,0,0.0,0.0
3424210016,0,0,42.3795489,-71.0638541
3468772193,0,0,42.3524309,-71.0736415
3404929002,0,0,42.348381,-71.1003358
3468700779,0,0,42.3511255,-71.0802819
3423608907,0,0,42.4119135,-71.1223556
3468694739,0,0,42.3520481,-71.078299
3423552905,0,0,42.3639086,-71.1160815
3420739413,0,0,0.0,0.0
3442111722,0,0,0.0,0.0
3401033961,0,0,42.34603725,-71.06146315
3423289755,0,0,42.36564,-71.054412
3410366044,0,0,0.0,0.0
3404655522,0,0,42.3657551,-71.0535321
3401360705,0,0,42.3656132,-71.0095602
3469517510,0,0,42.3511255,-71.0802819
3421679564,0,0,42.3581721,-71.0623935
3471179007,0,0,42.3432912,-71.1026167
3381906703,0,0,42.34165127,-71.06876255
3423290639,0,0,42.36244463,-71.05144892
3401837820,0,0,42.3487494,-71.0608497
3404131565,0,0,42.3967172,-71.1223151
3402180278,0,0,42.3011317,-71.1045757
3441187919,0,0,42.35240033,-71.06259375
3421453320,0,0,42.3544455,-71.0590922
3382796488,0,0,42.34522456,-71.08634173
3423289979,0,0,42.3640642,-71.0544858
3410457340,0,0,0.0,0.0
3421350658,0,0,42.3496291,-71.0718319
3423424405,0,0,42.3977741,-71.1056987
3401938708,0,0,42.3449031,-71.0865505
3404537608,0,0,42.375208,-71.144974
3441464241,0,0,42.3513845,-71.0554112
3424390724,0,0,42.3500137,-71.0661634
3424086330,0,0,42.36343482,-71.06643431
3420602451,0,0,42.3636904,-71.0583937
3442022856,0,0,42.426845,-71.0742895
3420870905,0,0,42.3602285,-71.0547722
3384326495,0,0,42.36133667,-71.06354903
3423329087,0,0,42.3941659,-71.0870226
3441357205,0,0,42.39032922,-71.14252725
3403796091,0,0,42.3520448,-71.0734495
3403843949,0,0,42.3656132,-71.0095602
3442088420,0,0,42.3504505,-71.0561242
3423454881,0,0,42.3626544,-71.0990583
3423645589,0,0,42.35141756,-71.11772474
3381820397,0,0,42.3574093,-71.0583299
3424509094,0,0,42.377158,-71.069383
3489874022,0,0,42.3432912,-71.1026167
3384343747,0,0,42.35986822,-71.06152605
3381864509,0,0,42.3588422,-71.0578337
3401359693,0,0,0.0,0.0
3441373261,0,0,0.0,0.0
3403773189,0,0,42.3512376,-71.073068
3421378748,0,0,42.3657551,-71.0535321
3404700540,0,0,42.3657551,-71.0535321
3424209528,0,0,42.3771315,-71.0401195
3423400537,0,0,42.3514296,-71.0501324
3441797992,0,0,0.0,0.0
3441959108,0,0,42.3614703,-71.0760449
3381681149,0,0,42.35323449,-71.06255239
3381609861,0,0,42.35004312,-71.07415203
3421566416,0,0,42.3643179,-71.0539177
3400951035,0,0,0.0,0.0
3441435019,0,0,0.0,0.0
3420623565,0,0,42.36706703,-71.05642084
3384427895,0,0,42.36058903,-71.07003876
3403989557,0,0,42.35211721,-71.08988092
3364823355,0,0,42.35089112,-71.07773531
3365931302,0,0,42.35244619,-71.07198192
3441372435,0,0,0.0,0.0
3450501879,0,0,42.3520481,-71.078299
